,cell_type
8.SC_250_1,C10(N2)
11.SC_250_1,C10(N2)
14.SC_250_1,C10(N2)
8.SC_250_2,C10(N2)
11.SC_250_2,C10(N2)
14.SC_250_2,C10(N2)
8.SC_250_3,C10(N2)
11.SC_250_3,C10(N2)
14.SC_250_3,C10(N2)
8.SC_250_4,C10(N2)
11.SC_250_4,C10(N2)
14.SC_250_4,C10(N2)
8.SC_250_5,C10(N2)
11.SC_250_5,C10(N2)
14.SC_250_5,C10(N2)
8.SC_250_6,C10(N2)
11.SC_250_6,C10(N2)
14.SC_250_6,C10(N2)
8.SC_250_7,C10(N2)
11.SC_250_7,C10(N2)
14.SC_250_7,C10(N2)
8.SC_250_8,C10(N2)
11.SC_250_8,C10(N2)
14.SC_250_8,C10(N2)
8.SC_250_9,C10(N2)
11.SC_250_9,C10(N2)
14.SC_250_9,C10(N2)
8.SC_250_10,C10(N2)
11.SC_250_10,C10(N2)
14.SC_250_10,C10(N2)
8.SC_250_11,C10(N2)
11.SC_250_11,C10(N2)
14.SC_250_11,C10(N2)
8.SC_250_12,C10(N2)
11.SC_250_12,C10(N2)
14.SC_250_12,C10(N2)
9.SC_250_1,RAW(N2)
12.SC_250_1,RAW(N2)
15.SC_250_1,RAW(N2)
9.SC_250_2,RAW(N2)
12.SC_250_2,RAW(N2)
15.SC_250_2,RAW(N2)
9.SC_250_3,RAW(N2)
12.SC_250_3,RAW(N2)
15.SC_250_3,RAW(N2)
9.SC_250_4,RAW(N2)
12.SC_250_4,RAW(N2)
15.SC_250_4,RAW(N2)
9.SC_250_5,RAW(N2)
12.SC_250_5,RAW(N2)
15.SC_250_5,RAW(N2)
9.SC_250_6,RAW(N2)
12.SC_250_6,RAW(N2)
15.SC_250_6,RAW(N2)
9.SC_250_7,RAW(N2)
12.SC_250_7,RAW(N2)
15.SC_250_7,RAW(N2)
9.SC_250_8,RAW(N2)
12.SC_250_8,RAW(N2)
15.SC_250_8,RAW(N2)
9.SC_250_9,RAW(N2)
12.SC_250_9,RAW(N2)
15.SC_250_9,RAW(N2)
9.SC_250_10,RAW(N2)
12.SC_250_10,RAW(N2)
15.SC_250_10,RAW(N2)
9.SC_250_11,RAW(N2)
12.SC_250_11,RAW(N2)
15.SC_250_11,RAW(N2)
9.SC_250_12,RAW(N2)
12.SC_250_12,RAW(N2)
15.SC_250_12,RAW(N2)
10.SC_250_1,SVEC(N2)
13.SC_250_1,SVEC(N2)
16.SC_250_1,SVEC(N2)
10.SC_250_2,SVEC(N2)
13.SC_250_2,SVEC(N2)
16.SC_250_2,SVEC(N2)
10.SC_250_3,SVEC(N2)
13.SC_250_3,SVEC(N2)
16.SC_250_3,SVEC(N2)
10.SC_250_4,SVEC(N2)
13.SC_250_4,SVEC(N2)
16.SC_250_4,SVEC(N2)
10.SC_250_5,SVEC(N2)
13.SC_250_5,SVEC(N2)
16.SC_250_5,SVEC(N2)
10.SC_250_6,SVEC(N2)
13.SC_250_6,SVEC(N2)
16.SC_250_6,SVEC(N2)
10.SC_250_7,SVEC(N2)
13.SC_250_7,SVEC(N2)
16.SC_250_7,SVEC(N2)
10.SC_250_8,SVEC(N2)
13.SC_250_8,SVEC(N2)
16.SC_250_8,SVEC(N2)
10.SC_250_9,SVEC(N2)
13.SC_250_9,SVEC(N2)
16.SC_250_9,SVEC(N2)
10.SC_250_10,SVEC(N2)
13.SC_250_10,SVEC(N2)
16.SC_250_10,SVEC(N2)
10.SC_250_11,SVEC(N2)
13.SC_250_11,SVEC(N2)
16.SC_250_11,SVEC(N2)
10.SC_250_12,SVEC(N2)
13.SC_250_12,SVEC(N2)
16.SC_250_12,SVEC(N2)
