,cell_type
i10,Hela(SCoPE2_Leduc)
i102,U-937(SCoPE2_Leduc)
i103,U-937(SCoPE2_Leduc)
i104,U-937(SCoPE2_Leduc)
i105,Hela(SCoPE2_Leduc)
i106,Hela(SCoPE2_Leduc)
i107,Hela(SCoPE2_Leduc)
i108,Hela(SCoPE2_Leduc)
i109,Hela(SCoPE2_Leduc)
i11,Hela(SCoPE2_Leduc)
i110,Hela(SCoPE2_Leduc)
i112,U-937(SCoPE2_Leduc)
i118,U-937(SCoPE2_Leduc)
i119,U-937(SCoPE2_Leduc)
i12,Hela(SCoPE2_Leduc)
i120,U-937(SCoPE2_Leduc)
i121,U-937(SCoPE2_Leduc)
i122,Hela(SCoPE2_Leduc)
i123,Hela(SCoPE2_Leduc)
i124,Hela(SCoPE2_Leduc)
i125,Hela(SCoPE2_Leduc)
i126,Hela(SCoPE2_Leduc)
i127,Hela(SCoPE2_Leduc)
i13,Hela(SCoPE2_Leduc)
i132,U-937(SCoPE2_Leduc)
i134,U-937(SCoPE2_Leduc)
i135,U-937(SCoPE2_Leduc)
i136,Hela(SCoPE2_Leduc)
i137,Hela(SCoPE2_Leduc)
i138,Hela(SCoPE2_Leduc)
i139,Hela(SCoPE2_Leduc)
i14,Hela(SCoPE2_Leduc)
i140,Hela(SCoPE2_Leduc)
i141,Hela(SCoPE2_Leduc)
i143,U-937(SCoPE2_Leduc)
i144,U-937(SCoPE2_Leduc)
i15,Hela(SCoPE2_Leduc)
i150,U-937(SCoPE2_Leduc)
i151,Hela(SCoPE2_Leduc)
i152,Hela(SCoPE2_Leduc)
i153,Hela(SCoPE2_Leduc)
i154,Hela(SCoPE2_Leduc)
i155,Hela(SCoPE2_Leduc)
i156,Hela(SCoPE2_Leduc)
i158,U-937(SCoPE2_Leduc)
i159,U-937(SCoPE2_Leduc)
i160,U-937(SCoPE2_Leduc)
i166,U-937(SCoPE2_Leduc)
i167,Hela(SCoPE2_Leduc)
i168,Hela(SCoPE2_Leduc)
i169,Hela(SCoPE2_Leduc)
i170,Hela(SCoPE2_Leduc)
i171,Hela(SCoPE2_Leduc)
i172,Hela(SCoPE2_Leduc)
i174,U-937(SCoPE2_Leduc)
i175,U-937(SCoPE2_Leduc)
i176,U-937(SCoPE2_Leduc)
i182,U-937(SCoPE2_Leduc)
i183,U-937(SCoPE2_Leduc)
i185,Hela(SCoPE2_Leduc)
i186,Hela(SCoPE2_Leduc)
i187,Hela(SCoPE2_Leduc)
i188,Hela(SCoPE2_Leduc)
i189,Hela(SCoPE2_Leduc)
i190,Hela(SCoPE2_Leduc)
i192,U-937(SCoPE2_Leduc)
i199,U-937(SCoPE2_Leduc)
i20,U-937(SCoPE2_Leduc)
i200,U-937(SCoPE2_Leduc)
i201,U-937(SCoPE2_Leduc)
i202,Hela(SCoPE2_Leduc)
i203,Hela(SCoPE2_Leduc)
i204,Hela(SCoPE2_Leduc)
i205,Hela(SCoPE2_Leduc)
i206,Hela(SCoPE2_Leduc)
i207,Hela(SCoPE2_Leduc)
i213,U-937(SCoPE2_Leduc)
i214,U-937(SCoPE2_Leduc)
i215,U-937(SCoPE2_Leduc)
i216,Hela(SCoPE2_Leduc)
i217,Hela(SCoPE2_Leduc)
i218,Hela(SCoPE2_Leduc)
i219,Hela(SCoPE2_Leduc)
i22,U-937(SCoPE2_Leduc)
i220,Hela(SCoPE2_Leduc)
i221,Hela(SCoPE2_Leduc)
i223,U-937(SCoPE2_Leduc)
i224,U-937(SCoPE2_Leduc)
i229,U-937(SCoPE2_Leduc)
i23,U-937(SCoPE2_Leduc)
i230,U-937(SCoPE2_Leduc)
i231,U-937(SCoPE2_Leduc)
i232,Hela(SCoPE2_Leduc)
i233,Hela(SCoPE2_Leduc)
i234,Hela(SCoPE2_Leduc)
i235,Hela(SCoPE2_Leduc)
i236,Hela(SCoPE2_Leduc)
i237,Hela(SCoPE2_Leduc)
i239,U-937(SCoPE2_Leduc)
i24,U-937(SCoPE2_Leduc)
i240,U-937(SCoPE2_Leduc)
i245,U-937(SCoPE2_Leduc)
i247,Hela(SCoPE2_Leduc)
i248,Hela(SCoPE2_Leduc)
i25,U-937(SCoPE2_Leduc)
i250,Hela(SCoPE2_Leduc)
i251,Hela(SCoPE2_Leduc)
i252,Hela(SCoPE2_Leduc)
i255,U-937(SCoPE2_Leduc)
i256,U-937(SCoPE2_Leduc)
i26,Hela(SCoPE2_Leduc)
i27,Hela(SCoPE2_Leduc)
i28,Hela(SCoPE2_Leduc)
i29,Hela(SCoPE2_Leduc)
i30,Hela(SCoPE2_Leduc)
i31,Hela(SCoPE2_Leduc)
i37,U-937(SCoPE2_Leduc)
i38,U-937(SCoPE2_Leduc)
i39,U-937(SCoPE2_Leduc)
i4,U-937(SCoPE2_Leduc)
i40,U-937(SCoPE2_Leduc)
i41,Hela(SCoPE2_Leduc)
i42,Hela(SCoPE2_Leduc)
i43,Hela(SCoPE2_Leduc)
i44,Hela(SCoPE2_Leduc)
i45,Hela(SCoPE2_Leduc)
i46,Hela(SCoPE2_Leduc)
i48,U-937(SCoPE2_Leduc)
i54,U-937(SCoPE2_Leduc)
i55,U-937(SCoPE2_Leduc)
i56,U-937(SCoPE2_Leduc)
i57,Hela(SCoPE2_Leduc)
i58,Hela(SCoPE2_Leduc)
i59,Hela(SCoPE2_Leduc)
i6,U-937(SCoPE2_Leduc)
i60,Hela(SCoPE2_Leduc)
i61,Hela(SCoPE2_Leduc)
i62,Hela(SCoPE2_Leduc)
i64,U-937(SCoPE2_Leduc)
i69,U-937(SCoPE2_Leduc)
i7,U-937(SCoPE2_Leduc)
i70,U-937(SCoPE2_Leduc)
i71,Hela(SCoPE2_Leduc)
i72,Hela(SCoPE2_Leduc)
i73,Hela(SCoPE2_Leduc)
i74,Hela(SCoPE2_Leduc)
i75,Hela(SCoPE2_Leduc)
i76,Hela(SCoPE2_Leduc)
i78,U-937(SCoPE2_Leduc)
i79,U-937(SCoPE2_Leduc)
i8,U-937(SCoPE2_Leduc)
i80,U-937(SCoPE2_Leduc)
i86,U-937(SCoPE2_Leduc)
