,cell_type
i10,BxPC3(pSCoPE_Huffman)
i102,HPAFII(pSCoPE_Huffman)
i103,HPAFII(pSCoPE_Huffman)
i104,CFPACI(pSCoPE_Huffman)
i105,CFPACI(pSCoPE_Huffman)
i106,CFPACI(pSCoPE_Huffman)
i107,CFPACI(pSCoPE_Huffman)
i108,BxPC3(pSCoPE_Huffman)
i109,BxPC3(pSCoPE_Huffman)
i11,BxPC3(pSCoPE_Huffman)
i110,BxPC3(pSCoPE_Huffman)
i111,BxPC3(pSCoPE_Huffman)
i118,HPAFII(pSCoPE_Huffman)
i12,BxPC3(pSCoPE_Huffman)
i120,CFPACI(pSCoPE_Huffman)
i121,CFPACI(pSCoPE_Huffman)
i122,CFPACI(pSCoPE_Huffman)
i123,CFPACI(pSCoPE_Huffman)
i124,BxPC3(pSCoPE_Huffman)
i125,BxPC3(pSCoPE_Huffman)
i126,BxPC3(pSCoPE_Huffman)
i127,BxPC3(pSCoPE_Huffman)
i13,BxPC3(pSCoPE_Huffman)
i133,HPAFII(pSCoPE_Huffman)
i134,HPAFII(pSCoPE_Huffman)
i135,HPAFII(pSCoPE_Huffman)
i136,CFPACI(pSCoPE_Huffman)
i137,CFPACI(pSCoPE_Huffman)
i138,CFPACI(pSCoPE_Huffman)
i139,BxPC3(pSCoPE_Huffman)
i140,BxPC3(pSCoPE_Huffman)
i141,BxPC3(pSCoPE_Huffman)
i142,BxPC3(pSCoPE_Huffman)
i144,HPAFII(pSCoPE_Huffman)
i15,HPAFII(pSCoPE_Huffman)
i150,HPAFII(pSCoPE_Huffman)
i151,CFPACI(pSCoPE_Huffman)
i152,CFPACI(pSCoPE_Huffman)
i153,CFPACI(pSCoPE_Huffman)
i154,BxPC3(pSCoPE_Huffman)
i155,BxPC3(pSCoPE_Huffman)
i156,BxPC3(pSCoPE_Huffman)
i157,BxPC3(pSCoPE_Huffman)
i16,HPAFII(pSCoPE_Huffman)
i160,HPAFII(pSCoPE_Huffman)
i165,HPAFII(pSCoPE_Huffman)
i166,CFPACI(pSCoPE_Huffman)
i167,CFPACI(pSCoPE_Huffman)
i168,CFPACI(pSCoPE_Huffman)
i169,BxPC3(pSCoPE_Huffman)
i170,BxPC3(pSCoPE_Huffman)
i171,BxPC3(pSCoPE_Huffman)
i172,BxPC3(pSCoPE_Huffman)
i174,HPAFII(pSCoPE_Huffman)
i175,HPAFII(pSCoPE_Huffman)
i181,CFPACI(pSCoPE_Huffman)
i182,CFPACI(pSCoPE_Huffman)
i183,CFPACI(pSCoPE_Huffman)
i184,CFPACI(pSCoPE_Huffman)
i186,BxPC3(pSCoPE_Huffman)
i187,BxPC3(pSCoPE_Huffman)
i189,HPAFII(pSCoPE_Huffman)
i190,HPAFII(pSCoPE_Huffman)
i191,HPAFII(pSCoPE_Huffman)
i192,HPAFII(pSCoPE_Huffman)
i197,CFPACI(pSCoPE_Huffman)
i198,CFPACI(pSCoPE_Huffman)
i199,CFPACI(pSCoPE_Huffman)
i200,BxPC3(pSCoPE_Huffman)
i201,BxPC3(pSCoPE_Huffman)
i202,BxPC3(pSCoPE_Huffman)
i204,HPAFII(pSCoPE_Huffman)
i205,HPAFII(pSCoPE_Huffman)
i206,HPAFII(pSCoPE_Huffman)
i207,HPAFII(pSCoPE_Huffman)
i208,CFPACI(pSCoPE_Huffman)
i21,HPAFII(pSCoPE_Huffman)
i213,CFPACI(pSCoPE_Huffman)
i214,CFPACI(pSCoPE_Huffman)
i215,BxPC3(pSCoPE_Huffman)
i216,BxPC3(pSCoPE_Huffman)
i217,BxPC3(pSCoPE_Huffman)
i219,HPAFII(pSCoPE_Huffman)
i22,CFPACI(pSCoPE_Huffman)
i220,HPAFII(pSCoPE_Huffman)
i221,HPAFII(pSCoPE_Huffman)
i223,CFPACI(pSCoPE_Huffman)
i224,CFPACI(pSCoPE_Huffman)
i229,HPAFII(pSCoPE_Huffman)
i23,CFPACI(pSCoPE_Huffman)
i230,HPAFII(pSCoPE_Huffman)
i231,HPAFII(pSCoPE_Huffman)
i232,CFPACI(pSCoPE_Huffman)
i233,CFPACI(pSCoPE_Huffman)
i234,CFPACI(pSCoPE_Huffman)
i235,CFPACI(pSCoPE_Huffman)
i236,BxPC3(pSCoPE_Huffman)
i237,BxPC3(pSCoPE_Huffman)
i238,BxPC3(pSCoPE_Huffman)
i239,BxPC3(pSCoPE_Huffman)
i24,CFPACI(pSCoPE_Huffman)
i245,HPAFII(pSCoPE_Huffman)
i246,HPAFII(pSCoPE_Huffman)
i247,HPAFII(pSCoPE_Huffman)
i248,CFPACI(pSCoPE_Huffman)
i249,CFPACI(pSCoPE_Huffman)
i25,BxPC3(pSCoPE_Huffman)
i251,CFPACI(pSCoPE_Huffman)
i252,BxPC3(pSCoPE_Huffman)
i253,BxPC3(pSCoPE_Huffman)
i255,BxPC3(pSCoPE_Huffman)
i26,BxPC3(pSCoPE_Huffman)
i261,HPAFII(pSCoPE_Huffman)
i262,HPAFII(pSCoPE_Huffman)
i263,HPAFII(pSCoPE_Huffman)
i265,CFPACI(pSCoPE_Huffman)
i266,CFPACI(pSCoPE_Huffman)
i267,CFPACI(pSCoPE_Huffman)
i268,BxPC3(pSCoPE_Huffman)
i269,BxPC3(pSCoPE_Huffman)
i27,BxPC3(pSCoPE_Huffman)
i270,BxPC3(pSCoPE_Huffman)
i271,BxPC3(pSCoPE_Huffman)
i277,HPAFII(pSCoPE_Huffman)
i278,HPAFII(pSCoPE_Huffman)
i279,HPAFII(pSCoPE_Huffman)
i28,BxPC3(pSCoPE_Huffman)
i280,CFPACI(pSCoPE_Huffman)
i282,CFPACI(pSCoPE_Huffman)
i283,BxPC3(pSCoPE_Huffman)
i284,BxPC3(pSCoPE_Huffman)
i285,BxPC3(pSCoPE_Huffman)
i286,BxPC3(pSCoPE_Huffman)
i288,HPAFII(pSCoPE_Huffman)
i293,HPAFII(pSCoPE_Huffman)
i294,CFPACI(pSCoPE_Huffman)
i295,CFPACI(pSCoPE_Huffman)
i296,CFPACI(pSCoPE_Huffman)
i297,BxPC3(pSCoPE_Huffman)
i298,BxPC3(pSCoPE_Huffman)
