,cell_type
i10,U-937(pSCoPE_Leduc)
i100,U-937(pSCoPE_Leduc)
i1000,U-937(pSCoPE_Leduc)
i1003,Melanoma(pSCoPE_Leduc)
i1004,Melanoma(pSCoPE_Leduc)
i1005,Melanoma(pSCoPE_Leduc)
i1006,Melanoma(pSCoPE_Leduc)
i1007,Melanoma(pSCoPE_Leduc)
i1008,Melanoma(pSCoPE_Leduc)
i101,U-937(pSCoPE_Leduc)
i1013,U-937(pSCoPE_Leduc)
i1014,U-937(pSCoPE_Leduc)
i1015,U-937(pSCoPE_Leduc)
i1016,U-937(pSCoPE_Leduc)
i1017,U-937(pSCoPE_Leduc)
i1018,U-937(pSCoPE_Leduc)
i102,U-937(pSCoPE_Leduc)
i1020,Melanoma(pSCoPE_Leduc)
i1021,Melanoma(pSCoPE_Leduc)
i1022,Melanoma(pSCoPE_Leduc)
i1024,Melanoma(pSCoPE_Leduc)
i1025,Melanoma(pSCoPE_Leduc)
i1026,U-937(pSCoPE_Leduc)
i103,U-937(pSCoPE_Leduc)
i1031,U-937(pSCoPE_Leduc)
i1032,U-937(pSCoPE_Leduc)
i1033,U-937(pSCoPE_Leduc)
i1034,U-937(pSCoPE_Leduc)
i1035,U-937(pSCoPE_Leduc)
i1037,Melanoma(pSCoPE_Leduc)
i1038,Melanoma(pSCoPE_Leduc)
i104,U-937(pSCoPE_Leduc)
i1040,Melanoma(pSCoPE_Leduc)
i1042,Melanoma(pSCoPE_Leduc)
i1043,U-937(pSCoPE_Leduc)
i1044,U-937(pSCoPE_Leduc)
i1049,Melanoma(pSCoPE_Leduc)
i105,U-937(pSCoPE_Leduc)
i1050,Melanoma(pSCoPE_Leduc)
i1051,Melanoma(pSCoPE_Leduc)
i1052,Melanoma(pSCoPE_Leduc)
i1053,Melanoma(pSCoPE_Leduc)
i1054,Melanoma(pSCoPE_Leduc)
i1055,Melanoma(pSCoPE_Leduc)
i1056,U-937(pSCoPE_Leduc)
i1057,U-937(pSCoPE_Leduc)
i1058,U-937(pSCoPE_Leduc)
i1060,U-937(pSCoPE_Leduc)
i1061,U-937(pSCoPE_Leduc)
i1067,Melanoma(pSCoPE_Leduc)
i1069,Melanoma(pSCoPE_Leduc)
i107,Melanoma(pSCoPE_Leduc)
i1070,Melanoma(pSCoPE_Leduc)
i1071,Melanoma(pSCoPE_Leduc)
i1072,Melanoma(pSCoPE_Leduc)
i1075,U-937(pSCoPE_Leduc)
i1076,U-937(pSCoPE_Leduc)
i1077,U-937(pSCoPE_Leduc)
i1078,U-937(pSCoPE_Leduc)
i108,Melanoma(pSCoPE_Leduc)
i1080,Melanoma(pSCoPE_Leduc)
i1085,Melanoma(pSCoPE_Leduc)
i1086,Melanoma(pSCoPE_Leduc)
i1087,Melanoma(pSCoPE_Leduc)
i1088,Melanoma(pSCoPE_Leduc)
i1090,U-937(pSCoPE_Leduc)
i1091,U-937(pSCoPE_Leduc)
i1092,U-937(pSCoPE_Leduc)
i1093,U-937(pSCoPE_Leduc)
i1094,U-937(pSCoPE_Leduc)
i1095,U-937(pSCoPE_Leduc)
i1097,Melanoma(pSCoPE_Leduc)
i1098,Melanoma(pSCoPE_Leduc)
i11,U-937(pSCoPE_Leduc)
i1103,Melanoma(pSCoPE_Leduc)
i1104,Melanoma(pSCoPE_Leduc)
i1106,Melanoma(pSCoPE_Leduc)
i1107,U-937(pSCoPE_Leduc)
i1108,U-937(pSCoPE_Leduc)
i1109,U-937(pSCoPE_Leduc)
i1110,U-937(pSCoPE_Leduc)
i1111,U-937(pSCoPE_Leduc)
i1112,U-937(pSCoPE_Leduc)
i1114,Melanoma(pSCoPE_Leduc)
i1115,Melanoma(pSCoPE_Leduc)
i1116,Melanoma(pSCoPE_Leduc)
i1121,Melanoma(pSCoPE_Leduc)
i1122,Melanoma(pSCoPE_Leduc)
i1123,Melanoma(pSCoPE_Leduc)
i1124,U-937(pSCoPE_Leduc)
i1125,U-937(pSCoPE_Leduc)
i1126,U-937(pSCoPE_Leduc)
i1127,U-937(pSCoPE_Leduc)
i1128,U-937(pSCoPE_Leduc)
i1129,U-937(pSCoPE_Leduc)
i113,Melanoma(pSCoPE_Leduc)
i1130,U-937(pSCoPE_Leduc)
i1131,Melanoma(pSCoPE_Leduc)
i1132,Melanoma(pSCoPE_Leduc)
i1133,Melanoma(pSCoPE_Leduc)
i1134,Melanoma(pSCoPE_Leduc)
i1140,U-937(pSCoPE_Leduc)
i1141,U-937(pSCoPE_Leduc)
i1142,U-937(pSCoPE_Leduc)
i1143,U-937(pSCoPE_Leduc)
i1144,U-937(pSCoPE_Leduc)
i1145,U-937(pSCoPE_Leduc)
i1146,U-937(pSCoPE_Leduc)
i1148,Melanoma(pSCoPE_Leduc)
i1149,Melanoma(pSCoPE_Leduc)
i115,Melanoma(pSCoPE_Leduc)
i1150,Melanoma(pSCoPE_Leduc)
i1151,Melanoma(pSCoPE_Leduc)
i1152,Melanoma(pSCoPE_Leduc)
i1157,U-937(pSCoPE_Leduc)
