,cell_type
id1,U-937(plexDIA)
id10,U-937(plexDIA)
id101,U-937(plexDIA)
id102,Melanoma(plexDIA)
id104,U-937(plexDIA)
id105,Melanoma(plexDIA)
id107,U-937(plexDIA)
id108,Melanoma(plexDIA)
id11,Melanoma(plexDIA)
id110,Melanoma(plexDIA)
id111,HPAFII(plexDIA)
id112,U-937(plexDIA)
id113,Melanoma(plexDIA)
id114,HPAFII(plexDIA)
id115,U-937(plexDIA)
id116,Melanoma(plexDIA)
id117,HPAFII(plexDIA)
id118,Melanoma(plexDIA)
id119,HPAFII(plexDIA)
id12,HPAFII(plexDIA)
id120,U-937(plexDIA)
id121,Melanoma(plexDIA)
id122,HPAFII(plexDIA)
id123,U-937(plexDIA)
id124,Melanoma(plexDIA)
id125,HPAFII(plexDIA)
id126,U-937(plexDIA)
id127,HPAFII(plexDIA)
id129,Melanoma(plexDIA)
id13,Melanoma(plexDIA)
id130,HPAFII(plexDIA)
id131,U-937(plexDIA)
id132,Melanoma(plexDIA)
id133,HPAFII(plexDIA)
id134,U-937(plexDIA)
id135,Melanoma(plexDIA)
id136,U-937(plexDIA)
id138,HPAFII(plexDIA)
id139,U-937(plexDIA)
id14,HPAFII(plexDIA)
id140,Melanoma(plexDIA)
id141,HPAFII(plexDIA)
id142,U-937(plexDIA)
id143,Melanoma(plexDIA)
id144,HPAFII(plexDIA)
id145,HPAFII(plexDIA)
id146,U-937(plexDIA)
id147,Melanoma(plexDIA)
id148,U-937(plexDIA)
id149,Melanoma(plexDIA)
id15,U-937(plexDIA)
id150,HPAFII(plexDIA)
id151,Melanoma(plexDIA)
id152,HPAFII(plexDIA)
id153,U-937(plexDIA)
id157,U-937(plexDIA)
id158,HPAFII(plexDIA)
id159,Melanoma(plexDIA)
id16,HPAFII(plexDIA)
id160,HPAFII(plexDIA)
id161,Melanoma(plexDIA)
id162,U-937(plexDIA)
id163,Melanoma(plexDIA)
id164,U-937(plexDIA)
id165,HPAFII(plexDIA)
id166,U-937(plexDIA)
id167,HPAFII(plexDIA)
id168,Melanoma(plexDIA)
id169,HPAFII(plexDIA)
id17,U-937(plexDIA)
id170,Melanoma(plexDIA)
id171,U-937(plexDIA)
id172,Melanoma(plexDIA)
id173,U-937(plexDIA)
id174,HPAFII(plexDIA)
id175,U-937(plexDIA)
id176,HPAFII(plexDIA)
id177,Melanoma(plexDIA)
id178,HPAFII(plexDIA)
id179,Melanoma(plexDIA)
id18,Melanoma(plexDIA)
id180,U-937(plexDIA)
id181,Melanoma(plexDIA)
id182,U-937(plexDIA)
id183,HPAFII(plexDIA)
id184,U-937(plexDIA)
id185,HPAFII(plexDIA)
id186,Melanoma(plexDIA)
id2,Melanoma(plexDIA)
id20,Melanoma(plexDIA)
id21,HPAFII(plexDIA)
id22,Melanoma(plexDIA)
id23,HPAFII(plexDIA)
id24,U-937(plexDIA)
id25,HPAFII(plexDIA)
id26,U-937(plexDIA)
id29,Melanoma(plexDIA)
id3,HPAFII(plexDIA)
id30,HPAFII(plexDIA)
id31,Melanoma(plexDIA)
id32,HPAFII(plexDIA)
id33,U-937(plexDIA)
id34,U-937(plexDIA)
id35,Melanoma(plexDIA)
id36,HPAFII(plexDIA)
id37,U-937(plexDIA)
id38,Melanoma(plexDIA)
id39,HPAFII(plexDIA)
id4,Melanoma(plexDIA)
id40,Melanoma(plexDIA)
id41,HPAFII(plexDIA)
id43,Melanoma(plexDIA)
id44,HPAFII(plexDIA)
id46,HPAFII(plexDIA)
id47,U-937(plexDIA)
id48,Melanoma(plexDIA)
id49,HPAFII(plexDIA)
id5,HPAFII(plexDIA)
id51,Melanoma(plexDIA)
id52,U-937(plexDIA)
id53,Melanoma(plexDIA)
id54,HPAFII(plexDIA)
id55,U-937(plexDIA)
id56,Melanoma(plexDIA)
id57,HPAFII(plexDIA)
id58,Melanoma(plexDIA)
id59,HPAFII(plexDIA)
id60,U-937(plexDIA)
id61,Melanoma(plexDIA)
id62,HPAFII(plexDIA)
id63,U-937(plexDIA)
id64,HPAFII(plexDIA)
id66,Melanoma(plexDIA)
id67,HPAFII(plexDIA)
id68,U-937(plexDIA)
id69,Melanoma(plexDIA)
id7,HPAFII(plexDIA)
id71,Melanoma(plexDIA)
id72,HPAFII(plexDIA)
id74,Melanoma(plexDIA)
id75,HPAFII(plexDIA)
id76,Melanoma(plexDIA)
id77,HPAFII(plexDIA)
id78,U-937(plexDIA)
id79,Melanoma(plexDIA)
id8,U-937(plexDIA)
id80,HPAFII(plexDIA)
id81,U-937(plexDIA)
id82,HPAFII(plexDIA)
id83,U-937(plexDIA)
id85,HPAFII(plexDIA)
id86,U-937(plexDIA)
id88,U-937(plexDIA)
id9,Melanoma(plexDIA)
id90,HPAFII(plexDIA)
id91,U-937(plexDIA)
id92,Melanoma(plexDIA)
id93,HPAFII(plexDIA)
id94,Melanoma(plexDIA)
id95,HPAFII(plexDIA)
id96,U-937(plexDIA)
id97,Melanoma(plexDIA)
id98,HPAFII(plexDIA)
id99,U-937(plexDIA)
