"","X","Y","EGFR","E-Cadherin","DNA1","DNA2","Rabbit IgG H L","GATA3","Histone H3 antibody 1","Ki-67","SMA","Vimentin","cleaved PARP","Cleaved Caspase3","Her2","p53","pan Cytokeratin","Cytokeratin 19","Progesterone Receptor A/B antibody 1","Progesterone Receptor A/B antibody 2","c-Myc","Fibronectin","Cytokeratin 14","Slug","CD20","vWF","CD31","Histone H3 antibody 2","Cytokeratin 5","CD44","CD45","CD68","CD3","Carbonic Anhydrase IX","Cytokeratin 8/18","Cytokeratin 7","Twist","phospho Histone","phospho mTOR","phospho S6"
"BaselTMA_SP41_83_X14Y2_1",187.4,0.8,0.0949594252077081,0.151128373401335,0.177900141768185,0.267543446639808,0.0224826581216462,0.00811110618880635,0.811660542674619,0,0.00646482334748004,0.662728849269399,0.0655132067110412,0.0655132067110412,0.0544758578531155,0.0101541394407456,0.0132622046430608,0.0119923642646992,0.147098838609396,0.147098838609396,0,0.183662945816092,0,0.00923590284462806,0.0148864848210894,0,0,0.0133329389985322,0,2.10784336633171,0,0,0.00831201913679954,0.0100228951862362,0,0.00772200851063868,0.0130645585739873,0.0393701358422936,0.133124868716277,0
"BaselTMA_SP41_83_X14Y2_2",203.702702702703,2.14864864864865,0.0232754124804463,0.0568999713926601,0.317014729436646,0.525672298518368,0.00496946472086312,0.00408594881378084,0.844104930060581,0,0.0292031563419157,0.21803508758181,0.056309521870129,0.056309521870129,0.0175635149909577,0.0038107326045956,0.0165837325712556,0.0105931200467208,0.0385678139379934,0.0385678139379934,0.00562345286341379,0.256621907485295,0.00836594137052491,0.00440910479446263,0.00209659060861073,0.00151186482287309,0.00151186482287309,0.0577408860299449,0.014937662718746,1.56470460541736,0.00606760200393817,0.0128786547082276,0.00838266857331864,0.0322393605052454,0.00657112187487664,0,0,0.0164491368834267,0.0592667518754273,0.00547538261547585
"BaselTMA_SP41_83_X14Y2_3",247.794871794872,1.56410256410256,0.108291711575428,0.0777794634676275,0.189046324030317,0.239857585321188,0,0,0.470505781302085,0,0.0114641714335153,0.532172823297431,0.107232773350298,0.107232773350298,0.0310992943004255,0.0349523556457097,0.0101992805629298,0.0155654706153518,0.173062526374615,0.173062526374615,0.0125005522009997,0.356986017991749,0.028639144582574,0.00800880763108955,0.01525112757191,0.00805483352757043,0.00805483352757043,0.0322559447865818,0.0136552131418094,2.51749558990974,0,0,0.011339381807186,0.0447762323582259,0.00818112761728972,0.00467812842828117,0.0104843039803196,0.0308011650872178,0.0965450243491737,0.0150923110701167
"BaselTMA_SP41_83_X14Y2_4",310.073529411765,3.44117647058824,0.0577645535780195,0.0604810863431748,0.312183803703902,0.685482536763469,0.0240553891355716,0.00693792792613499,0.645712297944154,0,0.00922485108692656,0.653333952449868,0.0891743837512008,0.0891743837512008,0.0386081713324409,0.0122804327659755,0.0158792036024797,0.0166117133791658,0.059015374477088,0.059015374477088,0.0111470537848008,1.08655652582715,0.00384133874398674,0.0156154991900129,0.0145583234247905,0.00658260873251112,0.00658260873251112,0.0622069335774047,0.00384445736085529,1.04942693122971,0.00349042335776085,0.00942962990421514,0.0043991925577585,0.0604461470883752,0.014767286375788,0,0.0160357464730149,0.0427319549369313,0.0819293159920364,0.13427087480571
"BaselTMA_SP41_83_X14Y2_5",727.307692307692,0.692307692307692,0,0.0172368981008438,0.203168617988688,0.42413784298369,0,0,0.684483301762644,0,0.0175485645631941,0.118465283831374,0.0142808529302761,0.0142808529302761,0.0153783540842894,0,0,0.0223729080615914,0.0128212944219851,0.0128212944219851,0,0.0457690133515533,0,0.0409821019122372,0,0,0,0.0153840091341182,0,1.00303531128158,0,0.0151281057732821,0,0,0,0,0,0,0,0.0494467179196409
"BaselTMA_SP41_83_X14Y2_6",517.022988505747,3.54022988505747,0.0156022923474257,0.0421777855781608,0.267157747429311,0.448586909224791,0.000396698574521469,0.0177205358948292,0.753950388669722,0.00717099593920403,0.00648824733613261,0.103816023462577,0.0543600380371024,0.0543600380371024,0.0167409994673272,0.00119802081304083,0.00459556049017381,0.0122654024106003,0.0513260270118367,0.0513260270118367,0.00357931367128259,0.927729320644995,0.0054566289709062,0.00811905828778376,0.00850119887271875,0,0,0.0367089969093971,0,1.11893709682568,0,0.0103265359017866,0.00134778793235088,0.0342410653565863,0.000103541667501891,0,0.00125225366956,0.0301039767624,0.0620943445755166,0.00645135000339412
"BaselTMA_SP41_83_X14Y2_7",43.6635514018692,6.70093457943925,0.0380627732890121,0.0542190566139969,0.2802264376264,0.4899433811127,0.00564317710686665,0.0114709276831618,0.962878658144138,0.00149715416479211,0.0430930977322862,0.45690149006635,0.0520935575147015,0.0520935575147015,0.0182191113225483,0.00289181547308868,0.00666764503999377,0.00960160385263463,0.0450657793564424,0.0450657793564424,0.0135420745802476,0.242447310551429,0.00984659719599176,0.015692037577368,0.00525963919539591,0.010507067006288,0.010507067006288,0.0841529737906586,0.0073417555941517,1.52940204987662,0.0102366035130512,0.00257936814912908,0,0.0304761842886828,0.00197042315035087,0,0.0146848253712712,0.0563799336299724,0.0359568128569707,0.000983454062363359
"BaselTMA_SP41_83_X14Y2_8",304.403361344538,11.1344537815126,0.03056240608183,0.0664676641296669,0.366301246041118,0.661838378320876,0.0113388197927152,0,0.434875238383967,0.00298443190563001,0.0167057288703597,0.234210371821864,0.0325835130225963,0.0325835130225963,0.0125760153491414,0.00592990592860038,0.00167707395908852,0.00993697568265736,0.0305543246510453,0.0305543246510453,0.00167341334193229,0.416054136229141,0.0029791069651184,0,0.00146977782982644,0.00254048964482718,0.00254048964482718,0.0451862986047367,0.00234406536741348,0.889884148404575,0.00186821393900082,0.00366116234966794,0.0039534086998051,0.0178980617325261,0.0117767024452658,0,0.00770583146373225,0.0689593022526255,0.0263598697639482,0.00861346970818567
"BaselTMA_SP41_83_X14Y2_9",76.2272727272727,26,0.097845512770871,0.150238524035761,0.328651583069244,0.410107058176271,0,0,0.145266856292191,0.0111125978035789,0.127349558480228,0.0770835582043095,0.051763274566525,0.051763274566525,0.051805953795611,0,0.0151418524593914,0.0253249510891463,0.0740963510427619,0.0740963510427619,0.0405425693103022,0.191373585922568,0,0.004409212178446,0.0361959010066177,0,0,0.113853868116104,0.0254548847001051,2.55643634071412,0.00845482790523576,0.0068722318227778,0,0.15270643366685,0,0.00142263463712973,0.0174871863547843,0.104626735157624,0.160028231846704,0.00725234493644314
"BaselTMA_SP41_83_X14Y2_10",133.866071428571,24.7053571428571,0.0971286749127953,0.381267246123397,0.843114718738669,1.32934247625255,0.00675986007638535,0.0136400113525409,0.932085119929969,0,1.03776616426518,0.840075237894039,0.103891177576024,0.103891177576024,0.157742327186536,0.0175647795259587,0.664662455901118,0.0463415791821466,0.108356963375912,0.108356963375912,0.0446221579772432,0.279908771386648,0.0531447926714053,0.0163317807776259,0.000719209708347651,0.00215477737216562,0.00215477737216562,0.12984377750148,0.0626653252132819,2.16409409829267,0.00558180953573062,0.0212777516127046,0.0192688869320689,0.0767281604888687,0.0216880683357106,0.0205066691699522,0.0195865426436557,0.0654635073618928,0.10813621854679,0.0204015854715354
